Rio Grande do Sul | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Saldanha Marinho,4316436,saldanhense,VOLMAR TELLES DO AMARAL,221.554,2575,11.62,2619,98.78,0.762,-,41160196.3,38144640.14,66053.8,
Salto do Jacu&iacute;,4316451,salto-jacuiense,RONALDO OLIMPIO PEREIRA DE MORAES,507.698,10203,20.10,10357,99.18,0.687,9.35,86756033.46,80280815.71,58308.46,
Salvador das Miss&otilde;es,4316477,salvadorense,VILSON JOS&Eacute; SCHONS,95.952,2877,30.51,2955,100,0.753,28.57,41485072.88,38306284.64,56399.15,
Salvador do Sul,4316501,salvadorense,JOS&Eacute; LAERCE MORALES CEZAR,99.026,6879,69.38,7184,98.92,0.740,-,71904676.54,64138543.62,57513.58,
Sananduva,4316600,sananduvense,CLAITON EDU MONTEIRO DE AGUIAR,504.499,16399,32.51,16770,96.99,0.747,5.71,112898334.11,108146226.02,53537.23,
Santa B&aacute;rbara do Sul,4316709,santa-barbarense,LEANDRO CARAFFINI VENERAL,975.799,8122,8.32,8269,99.56,0.725,-,84609299,79738606.52,107801.14,
Santa Cec&iacute;lia do Sul,4316733,ceciliense,LEONARDO PANISSON,200.056,1674,8.37,1710,98.48,0.725,133.33,34097215.26,29661131.36,54576.52,
Santa Clara do Sul,4316758,santa-clarense,MARCIO LUIZ HAAS,86.491,6887,79.67,7079,99.55,0.740,-,57284060.89,57989185.07,62108.88,
Santa Cruz do Sul,4316808,santa-cruzense,SERGIO IVAN MORAES,734.516,133230,181.54,138270,99.6,0.773,7.49,927318285.12,905099248.03,100540.49,
Santa Maria,4316907,santa-mariense,RODRIGO DECIMO,1780.194,271735,152.64,282395,98.64,0.784,11.34,1259268128.42,1480850940.98,40230.46,
Santa Maria do Herval,4316956,hervalense,GILNEI CAPELETTI,140.437,6340,45.14,6486,99.45,0.676,-,49979075.43,44208235.96,42823.51,
Santa Margarida do Sul,4316972,margaridense,LUIZ FELIPE BRENNER MACHADO,955.299,2596,2.72,2661,100,0.663,-,40767246.54,33379188.65,107207.28,
Santana da Boa Vista,4317004,santanense-da-boa-vista,GARLENO ALVES DA SILVA,1418.805,7024,4.95,7128,99.21,0.633,20,59199397.89,50478245.37,33831.05,
Sant'Ana do Livramento,4317103,santanense,ANA LUIZA MOURA TAROUCO,6946.407,84421,12.15,87329,97.84,0.727,12.83,470675762.84,483698952.79,37237.35,
Santa Rosa,4317202,santa-rosense,ANDERSON MANTEI,489.380,76963,157.27,79488,99.47,0.769,6.86,617390266.98,595157628.44,58864.08,
Santa Tereza,4317251,santa-terezense,GISELE CAUMO,73.669,1505,20.43,1529,100,0.746,-,50172060.57,39177782.2,35708.89,
Santa Vit&oacute;ria do Palmar,4317301,vitoriense,ANDR&Eacute; SELAYARAN NICOLETTI,5206.977,30983,5.95,31965,96.44,0.712,6.73,243455983.23,223459410.14,64252.62,
Santiago,4317400,santiaguense,MARCELO GORSKI DE MATOS,2413.419,48938,20.27,50336,99.36,0.766,11.72,266301057.47,264488965.97,38041.83,
Santo &Acirc;ngelo,4317509,santo-angelense ou angelopolitano,NIVIO BOELTER BRAZ,678.502,76917,113.22,79146,99.26,0.772,9.09,402540036.75,424888139.6,43941.11,
Santo Ant&ocirc;nio do Palma,4317558,palmense,GILBERTO SZIMAINSKI,126.094,2091,16.58,2134,100,0.764,-,42502046.8,44803835.79,53766.03,
Santo Ant&ocirc;nio da Patrulha,4317608,patrulhense,RODRIGO GOMES MASSULO,1049.583,42947,40.92,44431,98.61,0.717,13.48,251343732.74,231654265.78,50733.01,
Santo Ant&ocirc;nio das Miss&otilde;es,4317707,santo-antoniense,FELISBERTO DOS SANTOS FERREIRA,1710.466,10300,6.02,10485,99.08,0.686,-,88093810.57,93757268.7,42070.15,
Santo Ant&ocirc;nio do Planalto,4317756,santo-antoniense,VILSON ALTMANN,203.440,2089,10.27,2138,100,0.759,62.5,39509837.57,33432349.2,79773.73,
Santo Augusto,4317806,santo-augustense,LILIAN FONTOURA DEPIERE,467.775,13902,29.72,14196,99.28,0.739,25.81,106943378.89,94162160.83,52398.97,
Santo Cristo,4317905,santo-cristense,CHARLES THIELE,367.202,15320,41.72,15667,99.33,0.738,-,108786782.66,110396114.91,50040.22,
Santo Expedito do Sul,4317954,expeditense,VANTUIR DUTRA,125.334,2349,18.70,2395,100,0.732,-,30736427.81,25611595.34,44928.64,
S&atilde;o Borja,4318002,s&atilde;o borjense,JOS&Eacute; LUIZ RODRIGUES MACHADO,3616.674,59676,16.50,61311,99.41,0.736,8.36,390357052.86,371853084.2,42737.25,
S&atilde;o Domingos do Sul,4318051,s&atilde;o-dominguense,JONAS TIBOLA,78.670,2754,35.01,2806,97.2,0.763,-,33320072.94,29737067.51,47409.04,
S&atilde;o Francisco de Assis,4318101,assisense,RUBEMAR PAULINHO SALBEGO,2534.789,17618,7.03,17934,99.39,0.675,-,118889212.11,111568686.07,33634.32,
S&atilde;o Francisco de Paula,4318200,serrano,THIAGO CARNIEL TEIXEIRA,3317.794,21893,6.60,22388,98.38,0.685,11.67,174133082.92,147775839.64,54907.12,
S&atilde;o Gabriel,4318309,gabrielense,LUCAS GON&Ccedil;ALVES MENEZES,5053.460,58487,11.57,60090,98.37,0.699,14.06,339766982.91,294245748.32,45872.18,
S&atilde;o Jer&ocirc;nimo,4318408,jeronimense,J&Uacute;LIO CESAR PRATES CUNHA,935.596,21028,22.48,21412,99.32,0.696,8.85,123467553.67,113709616.3,33872.85,
S&atilde;o Jo&atilde;o da Urtiga,4318424,urtiguense,CEZAR OLIMPIO ZANDONA,171.504,4461,26.08,4547,100,0.694,-,42305607.31,36016870.67,44443.23,
S&atilde;o Jo&atilde;o do Pol&ecirc;sine,4318432,polesinense,JAQUELINE MARIA SCHMITZ MILANESI,78.320,2649,33.82,2708,98.96,0.748,-,41036627.33,31820624.99,44534.87,
S&atilde;o Jorge,4318440,s&atilde;o-jorgense,DANILO SALVALAGGIO,125.731,2912,23.18,2976,98.64,0.732,-,35609651.45,31589193.72,38857.73,
S&atilde;o Jos&eacute; das Miss&otilde;es,4318457,s&atilde;o-josezense,GILMAR WEBER TOLFO,98.125,2362,24.07,2399,98.47,0.651,-,33115729.22,30218607.21,32295.3,
S&atilde;o Jos&eacute; do Herval,4318465,hervalense,JOVANI BOZETTI,102.912,1902,18.48,1931,100,0.717,-,36805326.84,34711561.67,29281.8,
S&atilde;o Jos&eacute; do Hort&ecirc;ncio,4318481,hortenciense,ESTER ELISA DILL KOCH,63.709,4447,69.80,4555,100,0.707,26.32,45204284.73,37409276.28,33538.58,
S&atilde;o Jos&eacute; do Inhacor&aacute;,4318499,inhacoraense,ADEMIR JOS&Eacute; SCHNEIDER,77.732,2406,30.95,2466,100,0.747,38.46,40153216.43,32615765.28,88984.64,
S&atilde;o Jos&eacute; do Norte,4318507,nortense,NEROMAR DE ARAUJO GUIMAR&Atilde;ES,1072.338,25443,23.74,26248,99.67,0.623,7.69,160957418.32,141545485.22,50051.63,
S&atilde;o Jos&eacute; do Ouro,4318606,ourense,VILMAR DE BIASI,335.215,6834,20.38,6978,99.75,0.755,-,48950811.06,41598685.77,62370.16,
S&atilde;o Jos&eacute; do Sul,4318614,s&atilde;o josense do sul,JULIANE MARIA BENDER,54.764,2380,43.46,2443,78.62,0.725,-,36443590.03,33807172.45,46854.47,
S&atilde;o Jos&eacute; dos Ausentes,4318622,ausentino,JOS&Eacute; CARLOS PEREIRA BECKER,1173.907,4172,3.55,4295,97.38,0.663,-,58076143.75,52639244.58,42468.17,
S&atilde;o Leopoldo,4318705,leopoldense,HELIOMAR ATHAYDES FRANCO,103.009,217409,2110.58,225737,95.63,0.739,13.84,1762847782.47,1663440860.53,54003.8,
S&atilde;o Louren&ccedil;o do Sul,4318804,lourenciano,ZELMUTE OLIVEIRA PERES MARTEN,2039.257,41989,20.62,43278,99.71,0.687,12.25,277257162.06,235152818.5,40953.48,
S&atilde;o Luiz Gonzaga,4318903,s&atilde;o-luizense,JOS&Eacute; ANT&Ocirc;NIO FLACH WERLE,1296.773,34752,26.82,35865,99.24,0.741,16.39,211234164.3,209212524.53,49291.83,
S&atilde;o Marcos,4319000,s&atilde;o-marquense,VOLMIR NAZARENO RECH,256.159,21084,82.31,21549,98.64,0.768,10.53,164811961.2,148088983.44,70610.77,
S&atilde;o Martinho,4319109,s&atilde;o-martinhense,JEANCARLO HUNHOFF,171.245,5481,32.01,5587,100,0.726,14.49,55586640.24,50207616.21,55635.65,
S&atilde;o Martinho da Serra,4319125,martinhense,ROBSON FLORES DA TRINDADE,669.547,2860,4.27,2908,100,0.652,-,41792887.88,32081394.36,73849.59,
S&atilde;o Miguel das Miss&otilde;es,4319158,miguelino,LUIZ RODRIGO RIBAS,1228.910,7056,5.74,7193,98.67,0.667,19.8,72526927.71,63245196.66,73296.83,
S&atilde;o Nicolau,4319208,s&atilde;o-nicolauense,RAFAEL GODOIS DA SILVA,497.446,5118,10.54,5243,98.99,0.645,16.39,44200868.66,46448626.91,34925.55,
S&atilde;o Paulo das Miss&otilde;es,4319307,paulista-das-miss&otilde;es,OBERDAN LUIS RHODEN,222.504,5846,26.10,5943,99.43,0.692,-,50441715.89,49087552.62,36726.43,
S&atilde;o Pedro da Serra,4319356,s&atilde;o-pedrense,LUIZ AUGUSTO HARTMANN,37.631,3548,100.78,3618,100,0.739,-,43742164.19,35268064.47,34569.02,
S&atilde;o Pedro das Miss&otilde;es,4319364,s&atilde;o pedrense,RAFAEL FUMAGALLI E SILVA,79.894,1757,21.99,1790,100,0.664,34.48,28610994.65,24915933.15,41497.43,
S&atilde;o Pedro do Buti&aacute;,4319372,s&atilde;o-butiaiense,NARCISO LUIS LENZ,107.394,3070,28.54,3142,100,0.763,31.25,40527327.59,36971369.86,45434.93,
S&atilde;o Pedro do Sul,4319406,s&atilde;o-pedrense,FERNANDO PILAR CEZAR,873.394,15577,17.84,15863,99.84,0.709,13.25,96186982.18,92639075.63,32471.16,
S&atilde;o Sebasti&atilde;o do Ca&iacute;,4319505,caiense,JO&Atilde;O MARCOS DUARTE GUAR&Aacute;,113.097,24428,213.73,24898,96.06,0.739,11.54,178371046.62,164385548.17,45995.08,
S&atilde;o Sep&eacute;,4319604,sepense,MARCELO FARIA ELLWANGER,2204.779,21219,9.62,21551,94.51,0.708,4.76,151236847.69,154686614.91,49932.09,
S&atilde;o Valentim,4319703,valentinense,ALBERTINHO DASSOLER,154.450,3264,21.13,3320,99.11,0.720,-,37808622.98,35085108.45,38259.16,
S&atilde;o Valentim do Sul,4319711,s&atilde;o-valentinense,MOISES CAVANUS,91.898,2207,24.02,2255,97.84,0.764,-,36498283.53,34868445.87,38448.9,
S&atilde;o Val&eacute;rio do Sul,4319737,s&atilde;o-valerense,CLOVIS TABORDA PADILHA,107.402,2543,23.68,2593,93.58,0.642,27.03,33724015.37,30196647.57,26677.39,
S&atilde;o Vendelino,4319752,s&atilde;o-vendelinense,REGIS PAULO FRITZEN,31.899,2251,70.49,2309,100,0.754,-,56540521.7,52590093.41,46784.09,
S&atilde;o Vicente do Sul,4319802,vicentino,FERNANDO DA ROSA PAHIM,1174.225,8097,6.89,8257,100,0.685,11.36,74818305.75,63571653.95,58032.06,
Sapiranga,4319901,sapiranguense,CARINA PATR&Iacute;CIA NATH CORREA,137.759,75648,554.31,77935,99.45,0.711,5.72,483908094.51,401769674.88,61786.88,
Sapucaia do Sul,4320008,sapucaiense,VOLMIR RODRIGUES,58.247,132107,2268.05,136572,98.32,0.726,9.33,737735345.18,610198748,35799.83,
Sarandi,4320107,sarandiense,PABLO LUIZ ALIEVI MARI,351.718,22851,64.97,23374,96.67,0.777,5.76,165822338.15,157561592.37,62476.94,
Seberi,4320206,seberiense,ADILSON ADAM BALESTRIN,301.032,11950,39.72,12325,99.28,0.723,5.32,94622732.45,85054633.13,69246.5,
Sede Nova,4320230,sede-novense,PEDRO AMAURI WERNER,119.312,2704,22.66,2750,99.34,0.712,41.67,44837344.6,44645737.91,45338.29,
Segredo,4320263,segredense,CLAUDIO ANTONIO TREVISAN,245.170,6009,24.51,6098,100,0.659,14.71,49473067.63,45376893.39,30235.64,
Selbach,4320305,selbaquense,MICHAEL KUHN,176.470,5107,28.94,5222,100,0.777,20.83,54555835.32,39653158.84,56160.1,
Senador Salgado Filho,4320321,salgadofilhense,HUGO JONAS NESKE,147.097,2673,18.18,2725,100,0.693,-,33236096.96,31189901.04,34939.55,
Sentinela do Sul,4320354,sentinelense,JULIO CESAR CARVALHO,282.130,5306,18.81,5424,98.14,0.671,-,39434044.05,32521288.56,33904.52,
Serafina Corr&ecirc;a,4320404,serafinense,DANIEL MORANDI,163.310,16961,103.86,17407,99.5,0.760,4.65,152214467.31,131638834.62,58281.73,
S&eacute;rio,4320453,seriense,SIDINEI MOISES DE FREITAS,105.428,1941,19.78,2089,98.82,0.652,-,32696661.1,31093888.1,36233.21,
Sert&atilde;o,4320503,sertanense,HOMERO FOCHESATTO,440.631,5541,12.58,5630,98.73,0.751,15.63,58849711.3,50883356.06,70296.69,
Sert&atilde;o Santana,4320552,sertanense,RENATO AD&Atilde;O BURCHERT,252.013,5863,23.26,5989,94.65,0.689,-,49526629.72,39226796.85,58770.38,
Sete de Setembro,4320578,setembrense,NELSON PALINSKI,131.660,1830,14.16,1881,100,0.683,-,33166915.47,27342310.25,42178.05,
Severiano de Almeida,4320602,severianense,JAIR KAMMLER,167.598,3406,20.32,3463,100,0.752,-,50206410.47,41732353.86,41812.24,
Silveira Martins,4320651,sillveirense,SADI TOLFO,119.285,2028,17.00,2056,100,0.742,-,37168907.48,34278375.76,35603.6,
Sinimbu,4320677,sinimbuense,WILSON MOLZ,509.778,8578,16.81,8685,100,0.631,14.08,72744641.86,62665217.35,29013.34,
Sobradinho,4320701,sobradinhense,LUIZ AFFONSO TREVISAN,128.823,14226,110.43,14512,98,0.743,25.81,98222280.62,104810806.28,36780.55,
Soledade,4320800,soledadense,PAULO RICARDO CATTANEO,1215.056,29991,24.68,30939,99.37,0.731,10.53,175566629.94,164502478.85,43774.55,
Taba&iacute;,4320859,tabaiense,ANDERSON DE AZEVEDO VARGAS,94.754,4461,47.08,4569,99.46,0.701,-,41661426.44,31761693.75,39510.08,
Tapejara,4320909,tapejarense,EVANIR WOLFF,238.082,24557,103.15,25256,99.07,0.760,8.09,173560024.21,162663480.31,76169.6,
Tapera,4321006,taperense,OSVALDO HENRICH FILHO,179.935,10592,58.87,10824,97.65,0.747,-,79861796.41,70327652.45,55150.03,
Tapes,4321105,tapense,LUIZ CARLOS COUTINHO GARCEZ,805.452,14695,18.24,14920,99.45,0.695,13.42,107442051,95848352.86,43150.07,
Taquara,4321204,taquarense,SIRLEI TERESINHA BERNARDES DA SILVEIRA,450.195,53242,117.64,54353,99.55,0.727,8.47,298172359.22,289285225.56,34105.46,
Taquari,4321303,taquariense,ANDRE LUIS BARCELLOS BRITO,349.967,25198,72.00,25963,98.03,0.733,7.58,165074179.34,137827580.45,44596.6,
Taquaru&ccedil;u do Sul,4321329,taquara&ccedil;usense,LUIZ BLANCO ALVES,76.917,3119,40.55,3192,98.58,0.739,-,40788881.03,35147774.37,60383.86,
Tavares,4321352,tavarense,GILMAR FERREIRA DE LEMOS,610.107,5212,8.54,5319,98.7,0.656,15.15,43538709.3,37246963.68,26079.1,
Tenente Portela,4321402,portelense,ROSEMAR ANTONIO SALA,337.495,14497,42.95,14820,98.09,0.708,8.55,99371405.04,91520772.34,42416.61,
Terra de Areia,4321436,terrareense,OSVALDO DE MATTOS SOBRINHO,142.304,10334,72.62,10575,98.39,0.689,-,80847930.11,77469564.79,33149.81,
Teut&ocirc;nia,4321451,teutoniense,RENATO AIRTON ALTMANN,175.874,32797,184.47,34023,98.71,0.747,15.98,238736557.67,208353290.68,61083.35,
Tio Hugo,4321469,tio-huguense,VALDUZE BACK VOLLMER,113.944,3267,28.67,3358,100,0.742,-,38963795.7,36341529.68,53124.85,
Tiradentes do Sul,4321477,tiradentense,ELTON LUIS PILGER,236.653,5129,21.67,5188,100,0.689,-,42981695.82,36848428.38,31775.25,
Toropi,4321493,toropiense,VANDIR OESTERREICH,198.316,2554,12.88,2594,100,0.683,-,32703011.72,28460253.99,32225.47,
Torres,4321501,torrense,DELCI BEHENCK DIMER,161.630,41751,258.32,43344,99.11,0.762,12.02,351397596.95,313904257.29,43963.72,
Tramanda&iacute;,4321600,tramandaiense,JUAREZ MARQUES DA SILVA,142.878,54387,380.65,56430,98.89,0.719,12.61,374130930.57,358513141.42,29046.01,
Travesseiro,4321626,travesseirense,GILMAR LUIZ SOUTHIER,80.681,2152,26.67,2192,100,0.701,-,38476189.39,34843118.38,39999,
Tr&ecirc;s Arroios,4321634,tr&ecirc;s-arroiense,CARLOS FLORENCIO BURILLE,148.601,2591,17.44,2636,100,0.791,-,46671429.43,41845287.34,51829.66,
Tr&ecirc;s Cachoeiras,4321667,tr&ecirc;s cachoeirense,FABIANA RAUPP VALIM LEFFA,251.483,10962,43.59,11224,98.85,0.718,15.38,73991905.02,71605440.48,34006.87,
Tr&ecirc;s Coroas,4321709,tr&ecirc;s-coroense,FABIEL CRISTOV&Atilde;O PORT,168.124,24425,147.78,24428,99.14,0.710,17.32,184008213.1,147085877.57,43732.17,
Tr&ecirc;s de Maio,4321808,tr&ecirc;s-maiense,MARCOS VINICIUS BENEDETTI CORSO,421.461,24916,59.12,25466,98.66,0.759,9.93,176742758.22,171863591.09,61208.96,
Tr&ecirc;s Forquilhas,4321832,forquilhense,LORACI KLIPPEL MELO GERMANN,217.386,2760,12.70,2813,99.27,0.662,35.71,39633476.57,34734716.82,28694.49,
Tr&ecirc;s Palmeiras,4321857,tr&ecirc;s-palmeirense,SILVANIO ANTONIO DIAS,180.599,4716,26.11,4829,99.46,0.703,13.33,53328006.68,47354969.72,35178.23,
Tr&ecirc;s Passos,4321907,tr&ecirc;s-passense,ARLEI LUIS TOMAZONI,268.902,25436,94.59,26304,99.25,0.768,9.35,173383009.03,159969850.74,48279.28,
Trindade do Sul,4321956,trindadense,ODAIR ADILIO PELICIOLI,268.417,7556,28.15,7785,99.32,0.687,21.51,64916210.96,61395929.39,53405.36,
Triunfo,4322004,triunfense,MARCELO ESSVEIN,817.807,27498,33.63,28435,98.76,0.733,6.9,428157956.7,384136485.38,275341.31,
Tucunduva,4322103,tucunduvense,JONAS FERNANDO HAUSCHILD,181.198,5542,30.59,5646,86.26,0.747,28.57,46340659.07,47072422,41711.02,
Tunas,4322152,tunense,PAULO HENRIQUE REUTER,217.302,3681,16.94,3732,100,0.657,27.78,38667006.2,33299865.13,25604.56,
Tupanci do Sul,4322186,tupanciense,FERNANDO LUIS FAVRETTO,135.664,1374,10.16,1396,100,0.694,-,28521828.25,25027961.54,58077.29,
Tupanciret&atilde;,4322202,tupanciretanense,GUSTAVO HERTER TERRA,2253.234,20005,8.88,20324,96.49,0.709,-,174469569.11,137002957.63,63746.76,
Tupandi,4322251,tupandiense,PAULINHO LUDWIG,59.406,5029,84.60,5172,98.8,0.718,18.18,72251313.26,60906863.83,120151.94,
Tuparendi,4322301,tuparendiense,J&Uacute;LIO C&Eacute;SAR MATTIAZZI,307.710,8363,27.18,8535,99.31,0.728,-,59951907.84,50263615.97,44841.03,
Turu&ccedil;u,4322327,turu&ccedil;uense,IVAN EDUARDO SCHERDIEN,253.635,3419,13.48,3488,100,0.629,-,39664531.91,34264178.16,47185.14,
Ubiretama,4322343,ubiretamense,RODRIGO DANIEL BLOCH,125.876,1994,15.84,2025,100,0.700,-,33346716.69,30847008.82,36873.63,
Uni&atilde;o da Serra,4322350,uni&atilde;o-serrense,CLEONIR ANEIMAR TAUFFER,131.154,1170,8.92,1183,100,0.733,-,29466785.93,27168274.92,54968.08,
Unistalda,4322376,unistaldense,JOSE GILNEI MANARA MANZONI,602.260,1995,3.31,2047,100,0.649,-,31976317.17,20962451.69,35608.02,
Uruguaiana,4322400,uruguaianense,CARLOS ALBERTO DELGADO DE DAVID,5702.098,117210,20.56,120819,98.01,0.744,8.37,548625092.33,452124545.83,33406.32,
Vacaria,4322509,vacariense,ANDR&Eacute; LUIZ ROKOSKI,2124.492,64197,30.22,66146,97.19,0.721,15.49,407000370.85,382249147.22,57655.85,
Vale Verde,4322525,valeverdense,RICARDO FROEMMING,329.727,3150,9.55,3213,97.55,0.646,-,44361377.05,37558135.35,49796.88,
Vale do Sol,4322533,vale-solense,JOS&Eacute; VALTAIR DOS SANTOS,329.389,9897,30.15,10069,100,0.624,-,67588847.91,56190354.58,38425.44,
Vale Real,4322541,vale-realense,MARCELO ANTONIO BETTEGA,45.085,6058,134.37,6223,100,0.737,28.57,51791311.55,48485755.83,49206.2,
Vanini,4322558,vaninense,ERENEU JOSE BOGONI,64.905,2004,30.88,2047,100,0.757,-,33589966.01,30298027.73,40780.39,
Ven&acirc;ncio Aires,4322608,ven&acirc;ncio-airense,JARBAS DANIEL DA ROSA,772.701,68763,89.00,70842,99.62,0.712,13.87,482071499.52,429823393.48,68105.43,
Vera Cruz,4322707,vera-cruzense,GILSON ADRIANO BECKER,309.994,26710,86.27,27670,96.64,0.737,7.27,181913092.08,159184770.77,42177.75,
Veran&oacute;polis,4322806,veranense,CRISTIANO VALDUGA DAL PAI,289.397,24021,83.00,24554,90.74,0.773,7.97,216801955.66,197326530.42,99721.8,
Vespasiano Corr&ecirc;a,4322855,vespasianense,TIAGO MANOEL FERREIRA MICHELON,113.622,1818,16.00,1851,98.98,0.723,-,38503246.34,35692912,57397.31,
Viadutos,4322905,viadutense,GIOVAN ANDR&Eacute; SPEROTTO,266.670,4769,17.79,4847,100,0.702,-,46865217.83,37875873.75,40122.4,
Viam&atilde;o,4323002,viamonense,RAFAEL BORTOLETTI DALLA NORA,1496.019,224112,149.76,231996,97.59,0.717,13.44,895016326.88,853696310.78,24741.59,
Vicente Dutra,4323101,dutrense,TOMAZ DE AQUINO ROSSATO,193.023,4665,24.17,4741,99.49,0.638,-,38102173.71,34932040.8,31696.42,
Victor Graeff,4323200,victorense,LAIRTON ANDRE KOECHE,238.133,2780,11.67,2829,100,0.777,-,47802001.55,41400945.38,84803.43,
Vila Flores,4323309,vila-florense,EVANDRO ANT&Ocirc;NIO BRANDALISE,107.703,3646,33.85,3741,97.97,0.742,-,54360027.25,47992852.8,103321.16,
Vila L&acirc;ngaro,4323358,vila-langarense,ANILDO COSTELLA,151.673,2079,13.71,2121,100,0.705,-,43598679.95,31430518.68,74685.33,
Vila Maria,4323408,vila-mariense,ADROALDO SEBEN,181.061,4413,24.37,4515,98.34,0.761,20,57957106.32,56145163.01,89190.93,
Vila Nova do Sul,4323457,vilanovense,JOS&Eacute; LUIZ CAMARGO DE MOURA,508.278,3863,7.60,3932,97.57,0.662,37.04,42727810.69,37471222.39,56302.82,
Vista Alegre,4323507,vista-alegrense,RUDINEI BRIDI,77.656,2660,34.27,2710,100,0.739,-,35869324.69,30953027.66,51573.3,
Vista Alegre do Prata,4323606,vista-alegrense,ROBERTO DONIN,119.327,1590,13.32,1624,100,0.780,83.33,35024520.35,30589076.4,48029.48,
Vista Ga&uacute;cha,4323705,vista-gauchense,CLAUDEMIR JOSE LOCATELLI,90.022,2783,30.91,2843,100,0.757,-,43236099.14,36303857.45,33868.38,
Vit&oacute;ria das Miss&otilde;es,4323754,vitoriano,CORN&Eacute;LIO LUIS GRIMM,258.454,3260,12.62,3316,100,0.655,-,41038340.32,31937387.74,27372.91,
Westf&aacute;lia,4323770,westfaliano,CESAR JULIANO BLOEMKER,66.875,3098,48.66,3223,99.68,0.752,-,51937115.35,45012515.82,75751.52,
Xangri-l&aacute;,4323804,xangri-laense,CELSO BASSANI BARBOSA,60.756,16463,270.97,16949,98.66,0.735,10.15,332366639.51,331501723.88,55561.2,

<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023</td></tr><tr><td>Popula&ccedil;&atilde;o no &uacute;ltimo censo: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Densidade demogr&aacute;fica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Popula&ccedil;&atilde;o estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2024</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2022</td></tr><tr><td>Total de receitas brutas realizadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>Total de despesas brutas empenhadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>
